time,gyro0,gyro1,gyro2,act0,act1,act2,pitch,roll
306386,2.08,-0.73,3.66,0.298340,-0.138184,0.950195,-17.50,-9.59
306388,2.08,-0.73,3.66,0.298340,-0.138184,0.950195,-17.48,-9.45
306389,2.56,-0.79,3.72,0.297363,-0.132813,0.951172,-17.47,-9.30
306390,2.56,-0.79,3.72,0.297363,-0.132813,0.951172,-17.45,-9.15
306392,2.99,-0.85,3.78,0.294922,-0.128906,0.953613,-17.42,-9.00
306393,2.99,-0.85,3.78,0.294922,-0.128906,0.953613,-17.39,-8.86
306394,3.30,-0.79,3.78,0.291992,-0.124023,0.956055,-17.35,-8.71
306395,3.30,-0.79,3.78,0.291992,-0.124023,0.956055,-17.31,-8.57
306397,3.48,-0.67,3.78,0.290039,-0.120605,0.955078,-17.27,-8.43
306398,3.54,-0.55,3.72,0.290527,-0.117676,0.953125,-17.23,-8.28
306399,3.54,-0.55,3.72,0.290527,-0.117676,0.953125,-17.20,-8.15
306400,3.42,-0.49,3.60,0.289063,-0.114746,0.952637,-17.16,-8.01
306400,3.42,-0.49,3.60,0.289063,-0.114746,0.952637,-17.13,-7.89
306400,3.17,-0.43,3.48,0.285645,-0.112793,0.953613,-17.09,-7.76
306405,3.17,-0.43,3.48,0.285645,-0.112793,0.953613,-17.04,-7.65
306405,2.93,-0.24,3.36,0.285156,-0.110840,0.949707,-17.00,-7.54
306407,2.93,-0.24,3.36,0.285156,-0.110840,0.949707,-16.97,-7.43
306408,2.62,-0.06,3.23,0.278809,-0.108887,0.949707,-16.92,-7.33
306410,2.62,-0.06,3.23,0.278809,-0.108887,0.949707,-16.87,-7.24
306411,2.20,0.12,3.05,0.270996,-0.108887,0.952637,-16.79,-7.15
306412,2.20,0.12,3.05,0.270996,-0.108887,0.952637,-16.72,-7.07
306414,1.83,0.24,2.87,0.268066,-0.110352,0.947754,-16.63,-7.00
306415,1.83,0.24,2.87,0.268066,-0.110352,0.947754,-16.55,-6.94
306415,1.46,0.31,2.69,0.260742,-0.111816,0.949707,-16.46,-6.90
306417,1.46,0.31,2.69,0.260742,-0.111816,0.949707,-16.36,-6.85
306419,1.10,0.37,2.50,0.256348,-0.114258,0.950684,-16.25,-6.83
306420,1.10,0.37,2.50,0.256348,-0.114258,0.950684,-16.14,-6.80
306421,0.79,0.31,2.32,0.254395,-0.117188,0.946289,-16.04,-6.79
306422,0.79,0.31,2.32,0.254395,-0.117188,0.946289,-15.94,-6.79
306424,0.55,0.31,2.14,0.249023,-0.119629,0.947754,-15.84,-6.80
306425,0.55,0.31,2.14,0.249023,-0.119629,0.947754,-15.73,-6.81
306425,0.31,0.24,1.95,0.249023,-0.122070,0.945313,-15.64,-6.83
306428,0.31,0.24,1.95,0.249023,-0.122070,0.945313,-15.55,-6.85
306429,0.12,0.06,1.83,0.246582,-0.125488,0.943359,-15.46,-6.88
306430,0.12,0.06,1.83,0.246582,-0.125488,0.943359,-15.38,-6.92
306432,-0.00,-0.06,1.65,0.246094,-0.127930,0.944336,-15.30,-6.96
306433,-0.00,-0.06,1.65,0.246094,-0.127930,0.944336,-15.23,-7.00
306434,-0.06,-0.12,1.46,0.247559,-0.131836,0.941406,-15.17,-7.05
306436,-0.12,-0.18,1.22,0.245117,-0.135742,0.942871,-15.10,-7.12
306436,-0.12,-0.18,1.22,0.245117,-0.135742,0.942871,-15.05,-7.18
306438,-0.12,-0.12,1.04,0.246094,-0.140137,0.941406,-14.99,-7.26
306439,-0.12,-0.12,1.04,0.246094,-0.140137,0.941406,-14.95,-7.34
306441,-0.12,-0.06,0.79,0.242676,-0.146484,0.941895,-14.90,-7.43
306442,-0.12,-0.06,0.79,0.242676,-0.146484,0.941895,-14.85,-7.52
306443,-0.12,-0.06,0.55,0.244141,-0.151367,0.941406,-14.80,-7.62
306444,-0.12,-0.06,0.55,0.244141,-0.151367,0.941406,-14.76,-7.73
306445,-0.06,-0.12,0.31,0.241211,-0.157227,0.942383,-14.72,-7.84
306445,-0.06,-0.12,0.31,0.241211,-0.157227,0.942383,-14.67,-7.95
306448,-0.00,-0.18,0.12,0.243164,-0.161133,0.939941,-14.63,-8.07
306449,-0.00,-0.18,0.12,0.243164,-0.161133,0.939941,-14.60,-8.18
306450,0.06,-0.31,-0.06,0.240234,-0.164551,0.942383,-14.57,-8.30
306452,0.06,-0.31,-0.06,0.240234,-0.164551,0.942383,-14.53,-8.41
306453,0.12,-0.43,-0.18,0.242188,-0.166992,0.940430,-14.50,-8.53
306454,0.12,-0.43,-0.18,0.242188,-0.166992,0.940430,-14.47,-8.63
306456,0.12,-0.55,-0.24,0.240723,-0.169434,0.943848,-14.44,-8.74
306456,0.12,-0.55,-0.24,0.240723,-0.169434,0.943848,-14.41,-8.84
306458,0.18,-0.61,-0.31,0.243652,-0.170410,0.942871,-14.40,-8.93
306460,0.18,-0.61,-0.31,0.243652,-0.170410,0.942871,-14.38,-9.02
306461,0.18,-0.67,-0.31,0.243164,-0.171875,0.943359,-14.37,-9.10
306462,0.18,-0.67,-0.31,0.243164,-0.171875,0.943359,-14.36,-9.18
306463,0.18,-0.73,-0.24,0.246094,-0.172852,0.942871,-14.35,-9.26
306465,0.18,-0.73,-0.24,0.246094,-0.172852,0.942871,-14.35,-9.33
306466,0.06,-0.85,-0.24,0.245605,-0.174805,0.941895,-14.36,-9.40
306466,-0.12,-0.92,-0.24,0.248047,-0.177246,0.942383,-14.36,-9.47
306469,-0.12,-0.92,-0.24,0.248047,-0.177246,0.942383,-14.38,-9.54
306470,-0.37,-0.98,-0.18,0.248047,-0.179688,0.941895,-14.39,-9.62
306471,-0.37,-0.98,-0.18,0.248047,-0.179688,0.941895,-14.40,-9.69
306472,-0.55,-0.98,-0.24,0.249512,-0.183105,0.942383,-14.41,-9.77
306475,-0.55,-0.98,-0.24,0.249512,-0.183105,0.942383,-14.42,-9.84
306476,-0.73,-0.92,-0.24,0.250488,-0.185059,0.941406,-14.44,-9.92
306478,-0.73,-0.92,-0.24,0.250488,-0.185059,0.941406,-14.46,-9.99
306478,-0.79,-0.85,-0.24,0.250977,-0.187012,0.942871,-14.47,-10.06
306480,-0.79,-0.85,-0.24,0.250977,-0.187012,0.942871,-14.49,-10.13
306481,-0.85,-0.79,-0.31,0.252441,-0.188477,0.943848,-14.50,-10.20
306483,-0.85,-0.79,-0.31,0.252441,-0.188477,0.943848,-14.52,-10.26
306483,-0.92,-0.79,-0.31,0.252930,-0.189453,0.945801,-14.54,-10.32
306484,-0.92,-0.79,-0.31,0.252930,-0.189453,0.945801,-14.55,-10.38
306487,-0.92,-0.73,-0.37,0.253906,-0.188965,0.947754,-14.57,-10.43
306488,-0.92,-0.73,-0.37,0.253906,-0.188965,0.947754,-14.58,-10.47
306488,-0.98,-0.55,-0.43,0.253906,-0.188965,0.948730,-14.59,-10.51
306489,-0.98,-0.55,-0.43,0.253906,-0.188965,0.948730,-14.60,-10.55
306490,-1.04,-0.31,-0.55,0.254395,-0.187988,0.949707,-14.61,-10.58
306493,-1.04,-0.31,-0.55,0.254395,-0.187988,0.949707,-14.62,-10.60
